Vial,Date,Run,Well,Sample.Type,Concentration
608,20190125,9,C12,Sample,
609,20190125,9,D1,Sample,
609,20190125,9,D2,Sample,
609,20190125,9,D3,Sample,
616,20190125,9,D4,Sample,
616,20190125,9,D5,Sample,
616,20190125,9,D6,Sample,
617,20190125,9,D7,Sample,
617,20190125,9,D8,Sample,
617,20190125,9,D9,Sample,
618,20190125,9,D10,Sample,
618,20190125,9,D11,Sample,
618,20190125,9,D12,Sample,
625,20190125,9,E1,Sample,
625,20190125,9,E2,Sample,
625,20190125,9,E3,Sample,
626,20190125,9,E4,Sample,
626,20190125,9,E5,Sample,
626,20190125,9,E6,Sample,
627,20190125,9,E7,Sample,
627,20190125,9,E8,Sample,
627,20190125,9,E9,Sample,
634,20190125,9,E10,Sample,
634,20190125,9,E11,Sample,
634,20190125,9,E12,Sample,
635,20190125,9,F1,Sample,
635,20190125,9,F2,Sample,
635,20190125,9,F3,Sample,
636,20190125,9,F4,Sample,
636,20190125,9,F5,Sample,
636,20190125,9,F6,Sample,
643,20190125,9,F7,Sample,
643,20190125,9,F8,Sample,
643,20190125,9,F9,Sample,
644,20190125,9,F10,Sample,
644,20190125,9,F11,Sample,
644,20190125,9,F12,Sample,
645,20190125,9,G1,Sample,
645,20190125,9,G2,Sample,
645,20190125,9,G3,Sample,
652,20190125,9,G4,Sample,
652,20190125,9,G5,Sample,
652,20190125,9,G6,Sample,
653,20190125,9,G7,Sample,
653,20190125,9,G8,Sample,
653,20190125,9,G9,Sample,
